Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/timeline/home,93254,0,90,104.43943031332573,56.22562500000328,2156.8196250000256,10437.980601368306,247.56809036242944,0.0,90,110,120,130,150,170,210,240,390,2000,2200
GET,GET /v1/timeline/user/:id,37227,0,91,105.6422453441318,58.542500000001496,2127.3636249999868,10848.846213769575,98.82919016795162,0.0,91,110,120,130,150,170,220,240,410,1900,2100
POST,POST /v1/tweets,18687,0,76,80.89107698228707,55.75616699999841,585.0466250000181,214.54208808262428,49.60972081200505,0.0,76,81,84,86,96,110,130,150,370,540,590
POST,POST /v1/tweets/:id/like,37067,0,79,84.10099139555372,56.41045799995936,849.3070410000314,0.0,98.40442667836416,0.0,79,83,87,90,100,120,140,160,440,770,850
,Aggregated,186235,0,84,98.26896934245518,55.75616699999841,2156.8196250000256,7416.772298440143,494.4114280207503,0.0,84,96,110,120,140,160,200,230,410,900,2200
