Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/timeline/home,119424,199,130.0,170.81595184626048,23.60312499996553,47503.897999999994,10723.066544413183,202.72207076592267,0.3378022179998879,130,160,180,200,280,460,600,690,1900,6500,48000
GET,GET /v1/timeline/user/:id,47321,160,130.0,167.93542344451697,67.01279200001409,12374.399374999995,10905.192958728683,80.32733044207384,0.2715997732662415,130,160,180,200,280,420,550,650,1800,4100,12000
POST,POST /v1/tweets,23864,0,93,124.9697993200633,62.411375000010594,12357.503124999994,214.55338585316795,40.50910618265992,0.0,93,110,130,150,200,240,300,380,1600,6900,12000
POST,POST /v1/tweets/:id/like,47049,0,97,138.11574046073144,62.38991699996177,24059.648583000013,0.0,79.86561082752124,0.0,97,120,150,180,250,300,380,450,1600,4000,24000
,Aggregated,237658,359,120.0,159.1652002878768,23.60312499996553,47503.897999999994,7581.298491950618,403.4241182181777,0.6094019912661294,120,150,170,190,260,390,550,660,1800,6500,48000
